Time,TcpHybla,TcpNewReno,TcpScalable,TcpVegas,TcpWestwood
1e-05,0,0,0,0,0
0.000109999,0,0,0,0,0
0.000209998,0,0,0,0,0
0.000309997,0,0,0,0,0
0.000409996,0,0,0,0,0
0.000509995,0,0,0,0,0
0.000609994,0,0,0,0,0
0.000709993,0,0,0,0,0
0.000809992,0,0,0,0,0
0.000909991,0,0,0,0,0
0.00100999,0,0,0,0,0
0.00110999,0,0,0,0,0
0.00120999,0,0,0,0,0
0.00130999,0,0,0,0,0
0.00140999,0,0,0,0,0
0.00150998,0,0,0,0,0
0.00160998,0,0,0,0,0
0.00170998,0,0,0,0,0
0.00180998,0,0,0,0,0
0.00190998,0,0,0,0,0
0.00200998,0,0,0,0,0
0.00210998,0,0,0,0,0
0.00220998,0,0,0,0,0
0.00230998,0,0,0,0,0
0.00240998,0,0,0,0,0
0.00250997,0,0,0,0,0
0.00260997,0,0,0,0,0
0.00270997,0,0,0,0,0
0.00280997,0,0,0,0,0
0.00290997,0,0,0,0,0
0.00300997,0,0,0,0,0
0.00310997,0,0,0,0,0
0.00320997,0,0,0,0,0
0.00330997,0,0,0,0,0
0.00340997,0,0,0,0,0
0.00350996,0,0,0,0,0
0.00360996,0,0,0,0,0
0.00370996,0,0,0,0,0
0.00380996,0,0,0,0,0
0.00390996,0,0,0,0,0
0.00400996,0,0,0,0,0
0.00410996,0,0,0,0,0
0.00420996,0,0,0,0,0
0.00430996,0,0,0,0,0
0.00440996,0,0,0,0,0
0.00450995,0,0,0,0,0
0.00460995,0,0,0,0,0
0.00470995,0,0,0,0,0
0.00480995,0,0,0,0,0
0.00490995,0,0,0,0,0
0.00500995,0,0,0,0,0
0.00510995,0,0,0,0,0
0.00520995,0,0,0,0,0
0.00530995,0,0,0,0,0
0.00540995,0,0,0,0,0
0.00550994,0,0,0,0,0
0.00560994,0,0,0,0,0
0.00570994,0,0,0,0,0
0.00580994,0,0,0,0,0
0.00590994,0,0,0,0,0
0.00600994,0,0,0,0,0
0.00610994,0,0,0,0,0
0.00620994,0,0,0,0,0
0.00630994,0,0,0,0,0
0.00640994,0,0,0,0,0
0.00650993,0,0,0,0,0
0.00660993,0,0,0,0,0
0.00670993,0,0,0,0,0
0.00680993,0,0,0,0,0
0.00690993,0,0,0,0,0
0.00700993,0,0,0,0,0
0.00710993,0,0,0,0,0
0.00720993,0,0,0,0,0
0.00730993,0,0,0,0,0
0.00740993,0,0,0,0,0
0.00750992,0,0,0,0,0
0.00760992,0,0,0,0,0
0.00770992,0,0,0,0,0
0.00780992,0,0,0,0,0
0.00790992,0,0,0,0,0
0.00800992,0,0,0,0,0
0.00810992,0,0,0,0,0
0.00820992,0,0,0,0,0
